O9G_000001	PITH domain-containing protein
O9G_000002	hypothetical protein
O9G_000003	hypothetical protein
O9G_000004	hypothetical protein
O9G_000005	hypothetical protein
O9G_000006	hypothetical protein
O9G_000007	hypothetical protein
O9G_000008	hypothetical protein
O9G_000009	Acyl-CoA N-acyltransferase domain-containing protein
O9G_000010	hypothetical protein
O9G_000011	hypothetical protein
O9G_000012	DNA photolyase, FAD-binding/Cryptochrome domain-containing protein
O9G_000013	hypothetical protein
O9G_000014	P-loop containing nucleoside triphosphate hydrolase domain-containing protein
O9G_000015	hypothetical protein
O9G_000016	DNA photolyase domain-containing protein
O9G_000017	hypothetical protein
O9G_000018	SET domain-containing protein
O9G_000019	hypothetical protein
O9G_000020	hypothetical protein
O9G_000021	hypothetical protein
O9G_000022	Exportin/Importin, Cse1-like domain-containing protein
O9G_000023	hypothetical protein
O9G_000024	hypothetical protein
O9G_000025	Guanine-nucleotide dissociation stimulator CDC25 domain-containing protein
O9G_000026	ABC transporter domain-containing protein
O9G_000027	hypothetical protein
O9G_000028	Zinc/iron permease domain-containing protein
O9G_000029	hypothetical protein
O9G_000030	hypothetical protein
O9G_000031	FMP27 domain-containing protein
O9G_000032	hypothetical protein
O9G_000033	P-loop containing nucleoside triphosphate hydrolase domain-containing protein
O9G_000034	hypothetical protein
O9G_000035	Tubulin beta chain
O9G_000036	hypothetical protein
O9G_000037	hypothetical protein
O9G_000038	hypothetical protein
O9G_000039	hypothetical protein
O9G_000040	hypothetical protein
O9G_000041	RNA polymerase I transcription initiation factor RRN3 domain-containing protein
O9G_000042	hypothetical protein
O9G_000043	Phosphatidylinositol 3/4-kinase domain-containing protein
O9G_000046	hypothetical protein
O9G_000047	hypothetical protein
O9G_000048	hypothetical protein
O9G_000049	Carboxylesterase, type B domain-containing protein
O9G_000050	GTPase of unknown function domain-containing protein
O9G_000051	hypothetical protein
O9G_000052	Enhancer of polycomb-like domain-containing protein
O9G_000053	hypothetical protein
O9G_000054	hypothetical protein
O9G_000055	Hexokinase domain-containing protein
O9G_000056	Membrane bound O-acyl transferase, MBOAT domain-containing protein
O9G_000057	tRNA-binding domain-containing protein
O9G_000058	60S acidic ribosomal protein P1-alpha 1
O9G_000059	CO dehydrogenase flavoprotein-like, FAD-binding, sub 2 domain-containing protein
O9G_000060	hypothetical protein
O9G_000061	Syntaxin/epimorphin domain-containing protein
O9G_000062	hypothetical protein
O9G_000063	Pyridine nucleotide-disulfide oxidoreductase-like protein 4
O9G_000064	Importin beta-like protein
O9G_000066	Magnesium transporter NIPA domain-containing protein
O9G_000067	Phosphatidylinositol N-acetylglucosaminyltransferase domain-containing protein
O9G_000068	hypothetical protein
O9G_000069	Piezo family domain-containing protein
O9G_000070	hypothetical protein
O9G_000071	Origin recognition complex, subunit 3 domain-containing protein
O9G_000072	P-loop containing nucleoside triphosphate hydrolase domain-containing protein
O9G_000073	hypothetical protein
O9G_000074	Mitochondrial substrate/solute carrier domain-containing protein
O9G_000075	hypothetical protein
O9G_000076	hypothetical protein
O9G_000077	W2 domain-containing protein
O9G_000078	Peptidase S8, subtilisin-related domain-containing protein
O9G_000079	Alkaline-phosphatase-like domain-containing protein
O9G_000080	Eukaryotic initiation factor 4A-III
O9G_000081	hypothetical protein
O9G_000082	Thioredoxin-like fold domain-containing protein
O9G_000083	DNA-directed RNA polymerase III subunit Rpc5 domain-containing protein
O9G_000084	Nuclear pore protein 84/107 domain-containing protein
O9G_000085	hypothetical protein
O9G_000086	hypothetical protein
O9G_000087	Chaperonin Cpn10 domain-containing protein
O9G_000088	YjeF, carbohydrate kinase-related domain-containing protein
O9G_000089	hypothetical protein
O9G_000090	Major facilitator superfamily, general substrate transporter domain-containing protein
O9G_000091	Phenylalanyl-tRNA synthetase, class IIc, alpha subunit domain-containing protein
O9G_000092	hypothetical protein
O9G_000093	hypothetical protein
O9G_000094	14-3-3 protein domain-containing protein
O9G_000095	hypothetical protein
O9G_000096	hypothetical protein
O9G_000097	Protein kinase, catalytic domain-containing protein
O9G_000098	hypothetical protein
O9G_000099	hypothetical protein
O9G_000100	hypothetical protein
O9G_000101	hypothetical protein
O9G_000102	Sec1-like 2 domain-containing protein
O9G_000103	RING-type zinc-finger, LisH dimerization motif domain-containing protein
O9G_000104	Casein kinase II, regulatory subunit, alpha-helical domain-containing protein
O9G_000105	hypothetical protein
O9G_000106	hypothetical protein
O9G_000107	Aldolase-type TIM barrel domain-containing protein
O9G_000108	hypothetical protein
O9G_000109	hypothetical protein
O9G_000110	Hrf1 domain-containing protein
O9G_000111	hypothetical protein
O9G_000112	hypothetical protein
O9G_000113	GDP dissociation inhibitor domain-containing protein
O9G_000114	hypothetical protein
O9G_000115	Uracil phosphoribosyltransferase
O9G_000116	hypothetical protein
O9G_000117	hypothetical protein
O9G_000118	HECT domain-containing protein
O9G_000119	hypothetical protein
O9G_000120	hypothetical protein
O9G_000121	EF-Hand 1, calcium-binding site domain-containing protein
O9G_000122	Serine/threonine-protein phosphatase ppe1
O9G_000123	ABC transporter domain-containing protein
O9G_000124	hypothetical protein
O9G_000125	DNA mismatch repair protein MutS-like domain-containing protein
O9G_000126	hypothetical protein
O9G_000127	hypothetical protein
O9G_000128	hypothetical protein
O9G_000129	hypothetical protein
O9G_000130	hypothetical protein
O9G_000131	hypothetical protein
O9G_000132	Actin-binding FH2 domain-containing protein
O9G_000133	GPCR, family 3 domain-containing protein
O9G_000134	Muskelin domain-containing protein
O9G_000135	hypothetical protein
O9G_000136	hypothetical protein
O9G_000137	hypothetical protein
O9G_000138	hypothetical protein
O9G_000139	Neurolysin/Thimet oligopeptidase 2 domain-containing protein
O9G_000140	Isocitrate dehydrogenase NADP-dependent domain-containing protein
O9G_000141	hypothetical protein
O9G_000142	hypothetical protein
O9G_000143	Sedlin domain-containing protein
O9G_000144	Flap endonuclease 1
O9G_000145	Glycosyl transferase, family 2 domain-containing protein
O9G_000146	hypothetical protein
O9G_000147	Protein of unknown function DUF846, eukaryotic domain-containing protein
O9G_000148	Arfaptin/BAR domain-containing protein
O9G_000149	hypothetical protein
O9G_000150	Charged multivesicular body protein 2-like protein
O9G_000151	Ubiquitin-conjugating enzyme E2C-binding protein domain-containing protein
O9G_000152	hypothetical protein
O9G_000153	hypothetical protein
O9G_000154	Histone methyltransferase, PBCV type putative domain-containing protein
O9G_000155	hypothetical protein
O9G_000156	hypothetical protein
O9G_000157	Splicing factor 3B subunit 1
O9G_000158	RhoGEF domain-containing protein 3
O9G_000159	hypothetical protein
O9G_000160	hypothetical protein
O9G_000161	hypothetical protein
O9G_000162	hypothetical protein
O9G_000163	hypothetical protein
O9G_000164	hypothetical protein
O9G_000165	hypothetical protein
O9G_000166	Protein kinase, catalytic domain-containing protein
O9G_000167	hypothetical protein
O9G_000168	BRCT domain-containing protein
O9G_000169	hypothetical protein
O9G_000170	hypothetical protein
O9G_000171	hypothetical protein
O9G_000172	hypothetical protein
O9G_000173	Mitochondrial substrate/solute carrier domain-containing protein
O9G_000174	Nucleotide-binding, alpha-beta plait domain-containing protein
O9G_000175	hypothetical protein
O9G_000176	UPF0103/Mediator of ErbB2-driven cell motility domain-containing protein
O9G_000177	Protein of unknown function DUF602 domain-containing protein
O9G_000178	hypothetical protein
O9G_000179	hypothetical protein
O9G_000180	hypothetical protein
O9G_000181	SLA2-like Endocytosis protein and ANTH domain-containing protein
O9G_000182	Non-structural maintenance of chromosome element 4 domain-containing protein
O9G_000183	40S ribosomal protein S20
O9G_000184	hypothetical protein
O9G_000185	Synaptojanin domain-containing protein
O9G_000186	Cullin CUL3-like protein
O9G_000187	hypothetical protein
O9G_000188	hypothetical protein
O9G_000189	hypothetical protein
O9G_000190	Pre-mRNA splicing Prp18-interacting factor domain-containing protein
O9G_000191	Iron hydrogenase, large subunit domain-containing protein
O9G_000192	hypothetical protein
O9G_000193	Ribonuclease H-like domain-containing protein
O9G_000194	hypothetical protein
O9G_000195	hypothetical protein
O9G_000196	hypothetical protein
O9G_000197	hypothetical protein
O9G_000198	hypothetical protein
O9G_000199	Mitochondrial substrate/solute carrier domain-containing protein
O9G_000200	hypothetical protein
O9G_000201	hypothetical protein
O9G_000202	hypothetical protein
O9G_000203	DNA mismatch repair protein MutS domain-containing protein
O9G_000204	hypothetical protein
O9G_000205	hypothetical protein
O9G_000206	hypothetical protein
O9G_000207	Major facilitator superfamily, general substrate transporter domain-containing protein
O9G_000208	Helicase-associated domain-containing protein
O9G_000209	Kelch-type beta propeller domain-containing protein
O9G_000210	Zinc finger, C2H2 domain-containing protein
O9G_000211	Protein kinase, catalytic domain-containing protein
O9G_000212	T-complex protein 1 subunit gamma
O9G_000213	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial
O9G_000214	Translocation protein Sec63 domain-containing protein
O9G_000215	tRNA delta(2)-isopentenylpyrophosphate transferase domain-containing protein
O9G_000216	HAD-like domain-containing protein
O9G_000217	Prefoldin subunit domain-containing protein
O9G_000218	hypothetical protein
O9G_000219	Major facilitator superfamily domain-containing protein
O9G_000220	hypothetical protein
O9G_000221	3'5'-cyclic nucleotide phosphodiesterase domain-containing protein
O9G_000222	hypothetical protein
O9G_000223	hypothetical protein
O9G_000224	hypothetical protein
O9G_000225	hypothetical protein
O9G_000226	hypothetical protein
O9G_000227	CTLH/CRAto LisH motif domain-containing protein
O9G_000228	hypothetical protein
O9G_000229	hypothetical protein
O9G_000230	hypothetical protein
O9G_000231	hypothetical protein
O9G_000232	Digestive organ expansion factor, predicted domain-containing protein
O9G_000233	hypothetical protein
O9G_000234	hypothetical protein
O9G_000235	SNF2-related domain-containing protein
O9G_000236	Enoyl-CoA hydratase/isomerase domain-containing protein
O9G_000237	hypothetical protein
O9G_000238	hypothetical protein
O9G_000239	Aminotransferase, class I/classII domain-containing protein
O9G_000240	hypothetical protein
O9G_000241	Aminoacyl-tRNA synthetase, class II (D/K/N)-like domain-containing protein
O9G_000242	hypothetical protein
O9G_000243	hypothetical protein
O9G_000244	hypothetical protein
O9G_000245	hypothetical protein
O9G_000246	SAC3/GANP/Nin1/mts3/eIF-3 p25 domain-containing protein
O9G_000247	hypothetical protein
O9G_000248	hypothetical protein
O9G_000249	hypothetical protein
O9G_000250	SAC3/GANP/Nin1/mts3/eIF-3 p25 domain-containing protein
O9G_000251	hypothetical protein
O9G_000252	hypothetical protein
O9G_000253	hypothetical protein
O9G_000254	hypothetical protein
O9G_000255	MIF4G-like, type 3 domain-containing protein
O9G_000256	hypothetical protein
O9G_000257	Profilin conserved site domain-containing protein
O9G_000258	hypothetical protein
O9G_000259	hypothetical protein
O9G_000260	hypothetical protein
O9G_000261	hypothetical protein
O9G_000262	PapD-like domain-containing protein
O9G_000263	hypothetical protein
O9G_000264	hypothetical protein
O9G_000265	hypothetical protein
O9G_000266	hypothetical protein
O9G_000267	hypothetical protein
O9G_000268	hypothetical protein
O9G_000269	hypothetical protein
O9G_000270	hypothetical protein
O9G_000271	hypothetical protein
O9G_000272	hypothetical protein
O9G_000273	hypothetical protein
O9G_000275	hypothetical protein
O9G_000276	hypothetical protein
O9G_000277	hypothetical protein
O9G_000278	Histone-lysine N-methyltransferase domain-containing protein
O9G_000279	hypothetical protein
O9G_000280	U2 auxiliary factor small subunit domain-containing protein
O9G_000281	hypothetical protein
O9G_000282	hypothetical protein
O9G_000283	Zinc finger, C2H2 domain-containing protein
O9G_000284	Ribonuclease II/R domain-containing protein
O9G_000285	hypothetical protein
O9G_000286	hypothetical protein
O9G_000287	Transcription factor IIA, beta-barrel domain-containing protein
O9G_000288	hypothetical protein
O9G_000289	hypothetical protein
O9G_000290	Rof/RNase P-like domain-containing protein
O9G_000291	hypothetical protein
O9G_000292	hypothetical protein
O9G_000293	hypothetical protein
O9G_000294	DUF862, eukaryotic domain-containing protein
O9G_000295	Citron-like domain-containing protein
O9G_000296	Intersectin-1 like protein
O9G_000297	Mitochondrial pyruvate carrier 2
O9G_000298	hypothetical protein
O9G_000299	Sec1-like 2 domain-containing protein
O9G_000300	hypothetical protein
O9G_000301	hypothetical protein
O9G_000302	Phosphotransferase KptA/Tpt1 domain-containing protein
O9G_000303	hypothetical protein
O9G_000304	hypothetical protein
O9G_000305	Transcription factor, T-box domain-containing protein
O9G_000306	Ras-related protein Rap-1A
O9G_000307	Pumilio domain-containing and C14ORF21-like protein
O9G_000308	Exonuclease domain-containing protein
O9G_000309	Transaldolase
O9G_000310	hypothetical protein
O9G_000311	hypothetical protein
O9G_000312	hypothetical protein
O9G_000313	Peptidase A22, presenilin signal peptide domain-containing protein
O9G_000314	Arf GTPase activating protein domain-containing protein
O9G_000315	Rho guanine nucleotide exchange factor (RhoGEF) 6-like protein
O9G_000316	EF-Hand 1, calcium-binding site domain-containing protein
O9G_000317	hypothetical protein
O9G_000318	Nucleotide exchange factor Fes1 domain-containing protein
O9G_000319	hypothetical protein
O9G_000320	hypothetical protein
O9G_000321	Peptidase C14, caspase catalytic domain-containing protein
O9G_000322	hypothetical protein
O9G_000323	hypothetical protein
O9G_000324	Multiprotein bridging factor 1 domain-containing protein
O9G_000325	Protein kinase, catalytic domain-containing protein
O9G_000326	hypothetical protein
O9G_000327	hypothetical protein
O9G_000328	hypothetical protein
O9G_000329	hypothetical protein
O9G_000330	hypothetical protein
O9G_000331	hypothetical protein
O9G_000332	hypothetical protein
O9G_000333	hypothetical protein
O9G_000334	Ribosomal protein S6e domain-containing protein
O9G_000335	SWIB/MDM2 domain-containing protein
O9G_000336	hypothetical protein
O9G_000337	Exoribonuclease, phosphorolytic 1 domain-containing protein
O9G_000338	hypothetical protein
O9G_000339	hypothetical protein
O9G_000340	hypothetical protein
O9G_000341	Tctex-1 domain-containing protein
O9G_000342	Helix-turn-helix, base-excision DNA repair domain-containing protein
O9G_000343	hypothetical protein
O9G_000344	hypothetical protein
O9G_000345	Protein of unknown function DUF1754, eukaryotic domain-containing protein
O9G_000346	Peptidase M28 domain-containing protein
O9G_000347	Protein kinase, catalytic domain-containing protein
O9G_000348	Zinc finger, C2H2 domain-containing protein
O9G_000349	Peptidase S8, subtilisin-related domain-containing protein
O9G_000350	hypothetical protein
O9G_000351	hypothetical protein
O9G_000352	TFIIH subunit Tfb1/p62 domain-containing protein
O9G_000353	HECT domain-containing protein
O9G_000354	hypothetical protein
O9G_000355	hypothetical protein
O9G_000356	AP-2 complex subunit sigma domain-containing protein
O9G_000357	hypothetical protein
O9G_000358	hypothetical protein
O9G_000359	hypothetical protein
O9G_000360	Kinesin, motor domain-containing protein
O9G_000361	hypothetical protein
O9G_000362	hypothetical protein
O9G_000363	Kinesin, motor domain-containing protein
